iter	RMSE
0	2269534.024
1	2262748.93
2	2257763.143
3	2252221.753
4	2247619.656
5	2243764.342
6	2240299.077
7	2237244.291
8	2234156.038
9	2232016.92
10	2229762.927
11	2227730.792
12	2225786.687
13	2224048.21
14	2222680.783
15	2221301.31
16	2220114.671
17	2207314.654
18	2206239.808
19	2205110.596
20	2204270.637
21	2203540.742
22	2202762.948
23	2202004.601
24	2201130.633
25	2200328.484
26	2194138.662
27	2193581.372
28	2193277.306
29	2192191.589
30	2191786.331
31	2191291.012
32	2190892.233
33	2190354.827
34	2190107.915
35	2187503.807
36	2187246.256
37	2187012.418
38	2186568.635
39	2186195.266
40	2175763.787
41	2175593.929
42	2155885.805
43	2155741.413
44	2155482.756
45	2154409.998
46	2154249.144
47	2114433.062
48	2114149.632
49	2113928.311
50	2113710.309
51	2113609.016
52	2111700.252
53	2111475.925
54	2106280.757
55	2087125.885
56	2057125.352
57	2057060.468
58	2055639.554
59	2055605.418
60	2054274.413
61	2054007.898
62	2016122.287
63	1978920.061
64	1971683.345
65	1965914.48
66	1965900.156
67	1937166.197
68	1936849.238
69	1936412.164
70	1936331.317
71	1936196.179
72	1936123.264
73	1935953.433
74	1935759.585
75	1934031.828
76	1933918.443
77	1933903.448
78	1930997.165
79	1930954.049
80	1930892.044
81	1930865.268
82	1930733.604
83	1924463.393
84	1912853.793
85	1912818.135
86	1912664.053
87	1912109.321
88	1911957.264
89	1911454.76
90	1911383.406
91	1909537.455
92	1900767.083
93	1900477.939
94	1900462.225
95	1900344.382
96	1900191.552
97	1900044.325
98	1900034.823
99	1899941.351
100	1899884.38
101	1899807.316
102	1895425.061
103	1895343.086
104	1892730.989
105	1892706.359
106	1892658.22
107	1892653.061
108	1883785.371
109	1883618.659
110	1848989.819
111	1848945.72
112	1848506.508
113	1848475.161
114	1848410.664
115	1848235.117
116	1837416.832
117	1837322.125
118	1837302.289
119	1837290.243
120	1837199.983
121	1818969.784
122	1818881.731
123	1818493.353
124	1792023.747
125	1790643.435
126	1788581.486
127	1788502.406
128	1788494.556
129	1787782.843
130	1771057.987
131	1769122.811
132	1768885.352
133	1755396.773
134	1755392.178
135	1755385.269
136	1754426.862
137	1754402.584
138	1754397.569
139	1753878.617
140	1752635.381
141	1752208.95
142	1752204.775
143	1752194.625
144	1752177.003
145	1752113.911
146	1752091.374
147	1752022.214
148	1741016.244
149	1740953.535
150	1740948.076
151	1740929.18
152	1740297.609
153	1740138.175
154	1740091.382
155	1739071.704
156	1738906.919
157	1738906.786
158	1737453.595
159	1737450.641
160	1737355.796
161	1731069.792
162	1730866.305
163	1730783.437
164	1730318.456
165	1730211.755
166	1725486.29
167	1724153.073
168	1724120.865
169	1720644.622
170	1719955.405
171	1719043.248
172	1719025.358
173	1718761.484
174	1718743.874
175	1701188.8
176	1700183.618
177	1699696.492
178	1698979.354
179	1698379.48
180	1698287.238
181	1697742.478
182	1684037.434
183	1683622.085
184	1683516.911
185	1683514.608
186	1683281.057
187	1682522.112
188	1678243.327
189	1678216.965
190	1677637.438
191	1677244.272
192	1677207.563
193	1676837.342
194	1676756.077
195	1676627.611
196	1676089.389
197	1675762.619
198	1675752.24
199	1675486.927
200	1660732.45
201	1660550.278
202	1660492.319
203	1660060.017
204	1660036.434
205	1659887.503
206	1659542.458
207	1659534.365
208	1659465.072
209	1659458.003
210	1659441.495
211	1659360.683
212	1659260.294
213	1658993.885
214	1643263.55
215	1643017.202
216	1643012.041
217	1642439.703
218	1642318.568
219	1642316.77
220	1642265.933
221	1642042.765
222	1642038.279
223	1641983.935
224	1641915.601
225	1625221.122
226	1625217.005
227	1625075.479
228	1625071.993
229	1620773.529
230	1620770.501
231	1619240.16
232	1617205.659
233	1617203.064
234	1617079.266
235	1617065.677
236	1616879.933
237	1616848.901
238	1616846.691
239	1616844.792
240	1616811.552
241	1616809.913
242	1616682.257
243	1614922.393
244	1604407.954
245	1604370.763
246	1604285.562
247	1604126.019
248	1600576.271
249	1600574.766
250	1599080.569
251	1598764.483
252	1598682.647
253	1598313.824
254	1598312.684
255	1598236.836
256	1598211.703
257	1596918.994
258	1596900.364
259	1596842.529
260	1596791.412
261	1596773.333
262	1595650.997
263	1595650.126
264	1582030.601
265	1580696.541
266	1580688.957
267	1579736.058
268	1579713.685
269	1579713.042
270	1576670.223
271	1575850.906
272	1575850.358
273	1575849.885
274	1575847.385
275	1575777.456
276	1575777.052
277	1575733.728
278	1575690.059
279	1575689.718
280	1560937.66
281	1560923.108
282	1560922.899
283	1560813.282
284	1560527.147
285	1560514.27
286	1560499.965
287	1560412.36
288	1559721.769
289	1559721.586
290	1559671.178
291	1559551.179
292	1559504.436
293	1559472.427
294	1559472.281
295	1559227.236
296	1559227.091
297	1557913.424
298	1557866.221
299	1557798.589
300	1557772.498
301	1557745.449
302	1556710.433
303	1556710.273
304	1556222.06
305	1556208.593
306	1556183.743
307	1556144.278
308	1556144.092
309	1556109.988
310	1556086.522
311	1553458.176
312	1553373.182
313	1553173.657
314	1552581.075
