iter	Passed	Remaining
0	171	171176
1	248	123791
2	354	117731
3	440	109672
4	530	105573
5	638	105720
6	740	105080
7	844	104699
8	961	105822
9	1086	107553
10	1205	108406
11	1315	108319
12	1436	109074
13	1542	108608
14	1663	109266
15	1747	107451
16	1866	107904
17	1966	107299
18	2063	106556
19	2162	105981
20	2280	106296
21	2393	106392
22	2526	107332
23	2647	107684
24	2763	107788
25	2884	108046
26	2991	107797
27	3097	107518
28	3148	105436
29	3272	105823
30	3395	106151
31	3502	105941
32	3611	105834
33	3697	105058
34	3799	104767
35	3896	104337
36	3946	102722
37	4040	102296
38	4141	102044
39	4266	102385
40	4361	102009
41	4449	101488
42	4554	101366
43	4602	100002
44	4731	100406
45	4853	100651
46	4983	101054
47	5065	100461
48	5178	100499
49	5287	100469
50	5412	100719
51	5524	100715
52	5626	100525
53	5740	100557
54	5844	100417
55	5971	100657
56	6097	100884
57	6228	101162
58	6354	101347
59	6462	101253
60	6582	101329
61	6699	101360
62	6809	101274
63	6921	101227
64	7036	101222
65	7147	101140
66	7259	101089
67	7359	100866
68	7474	100857
69	7564	100500
70	7667	100326
71	7776	100233
72	7895	100265
73	7999	100108
74	8128	100256
75	8222	99972
76	8320	99734
77	8430	99648
78	8539	99553
79	8652	99498
80	8765	99447
81	8877	99387
82	8986	99279
83	9115	99406
84	9230	99358
85	9348	99355
86	9461	99293
87	9582	99312
88	9711	99406
89	9828	99379
90	9945	99347
91	10075	99445
92	10188	99363
93	10280	99090
94	10397	99045
95	10494	98820
96	10572	98424
97	10649	98022
98	10732	97680
99	10856	97707
100	10964	97591
101	11075	97509
102	11200	97538
103	11252	96943
104	11372	96941
105	11457	96630
106	11569	96553
107	11641	96150
108	11744	96001
109	11871	96051
110	11967	95851
111	12079	95769
112	12176	95583
113	12234	95086
114	12336	94933
115	12437	94781
116	12528	94550
117	12644	94511
118	12740	94322
119	12867	94361
120	12956	94123
121	13046	93892
122	13163	93857
123	13276	93793
124	13382	93675
125	13424	93121
126	13465	92564
127	13551	92316
128	13669	92297
129	13790	92292
130	13887	92124
131	14010	92126
132	14110	91986
133	14229	91959
134	14356	91990
135	14472	91942
136	14581	91852
137	14690	91765
138	14794	91640
139	14879	91400
140	14966	91181
141	15063	91014
142	15168	90903
143	15273	90790
144	15384	90714
145	15514	90751
146	15642	90766
147	15760	90728
148	15867	90627
149	15983	90573
150	16100	90524
151	16226	90526
152	16296	90216
153	16389	90036
154	16499	89950
155	16580	89703
156	16672	89524
157	16790	89476
158	16920	89496
159	17019	89353
160	17129	89264
161	17234	89152
162	17343	89058
163	17425	88830
164	17523	88681
165	17620	88525
166	17745	88513
167	17882	88562
168	17946	88248
169	18046	88108
170	18158	88032
171	18288	88038
172	18410	88008
173	18542	88021
174	18671	88020
175	18794	87990
176	18909	87926
177	19022	87845
178	19128	87732
179	19261	87748
180	19356	87584
181	19456	87446
182	19552	87293
183	19629	87053
184	19719	86873
185	19836	86813
186	19922	86614
187	19996	86367
188	20119	86333
189	20210	86162
190	20329	86106
191	20416	85918
192	20488	85670
193	20567	85448
194	20660	85291
195	20768	85194
196	20857	85019
197	20988	85014
198	21099	84929
199	21193	84774
200	21311	84714
201	21405	84560
202	21502	84422
203	21615	84340
204	21720	84234
205	21828	84134
206	21939	84049
207	22050	83962
208	22168	83902
209	22287	83845
210	22353	83588
211	22474	83537
212	22584	83445
213	22667	83253
214	22791	83216
215	22870	83011
216	22974	82899
217	23079	82788
218	23176	82650
219	23258	82460
220	23356	82329
221	23493	82331
222	23574	82139
223	23653	81941
224	23758	81833
225	23886	81805
226	23994	81708
227	24067	81493
228	24158	81337
229	24284	81300
230	24412	81267
231	24512	81143
232	24598	80973
233	24721	80924
234	24829	80829
235	24966	80823
236	25028	80577
237	25137	80482
238	25249	80397
239	25354	80290
240	25484	80261
241	25601	80188
242	25718	80120
243	25831	80034
244	25937	79928
245	26034	79796
246	26143	79701
247	26244	79580
248	26360	79504
249	26452	79357
250	26577	79308
251	26689	79220
252	26798	79124
253	26910	79036
254	27018	78937
255	27153	78915
256	27219	78692
257	27301	78517
